name,description,price,category,stock,brand,features,warranty
SoundPro Wireless Headphones,Premium wireless headphones with active noise cancellation and 30-hour battery life. Features Bluetooth 5.0 connectivity and comfortable over-ear design,89.99,audio,50,SoundPro,noise-cancelling|bluetooth|30h-battery|over-ear,2-year
BudMax Sport Earbuds,Waterproof IPX7 sport earbuds with secure fit and sweat resistance. Perfect for workouts with 8-hour battery life,59.99,audio,100,BudMax,waterproof|sport|8h-battery|secure-fit,1-year
SmartFit Fitness Tracker,Advanced fitness tracker with heart rate monitoring and sleep tracking. Includes GPS and 7-day battery life,79.99,wearables,75,SmartFit,heart-rate|sleep-tracking|gps|7-day-battery,1-year
PowerBank Pro 20000mAh,High-capacity portable charger with fast charging support. Dual USB ports and LED battery display,49.99,accessories,120,PowerBank,20000mah|fast-charging|dual-usb|led-display,2-year
UltraView 4K Webcam,Professional 4K webcam with auto-focus and low-light correction. Built-in dual microphones for clear audio,129.99,electronics,40,UltraView,4k|auto-focus|dual-mic|low-light,1-year
QuickCharge USB-C Cable,Premium USB-C charging cable with reinforced connectors. Supports fast charging up to 100W,19.99,accessories,200,QuickCharge,usb-c|fast-charging|100w|reinforced,lifetime
GamePad Pro Controller,Wireless gaming controller with haptic feedback and programmable buttons. Compatible with PC and mobile,69.99,gaming,60,GamePad,wireless|haptic|programmable|multi-platform,1-year
SmartHome Hub Max,Central smart home controller with voice assistant integration. Controls lights and appliances and security devices,149.99,smart-home,30,SmartHome,voice-control|hub|automation|security,2-year
PortaScreen Portable Monitor,15.6-inch portable monitor with USB-C connectivity. Perfect for remote work with 1080p display,199.99,electronics,25,PortaScreen,15.6-inch|usb-c|1080p|portable,1-year
AirPure Mini Air Purifier,Compact air purifier with HEPA filter and quiet operation. Covers rooms up to 200 square feet,89.99,home,45,AirPure,hepa-filter|quiet|200sqft|compact,1-year
EcoBottle Smart Water Bottle,Smart water bottle with hydration tracking and temperature display. Keeps drinks cold for 24 hours,34.99,lifestyle,80,EcoBottle,smart-tracking|temperature-display|24h-cold|eco-friendly,1-year
FlexDesk Standing Desk,Adjustable standing desk with electric height control. Features memory presets and cable management,399.99,furniture,15,FlexDesk,electric|adjustable|memory-presets|cable-management,5-year
LumiLight Smart Bulb,WiFi-enabled smart bulb with 16 million colors and voice control. Energy efficient LED technology,24.99,smart-home,150,LumiLight,wifi|16m-colors|voice-control|energy-efficient,2-year
ProClean Robot Vacuum,Smart robot vacuum with mapping and scheduled cleaning. Works with Alexa and Google Home,299.99,home,20,ProClean,mapping|scheduled-cleaning|voice-compatible|smart-navigation,2-year
SecureCam Indoor Camera,1080p indoor security camera with night vision and two-way audio. Motion detection alerts,79.99,security,55,SecureCam,1080p|night-vision|two-way-audio|motion-detection,1-year
PulseSound Bluetooth Speaker,Portable Bluetooth speaker with deep bass and 12-hour playtime. Compact design with splash resistance,69.99,audio,90,PulseSound,bluetooth|deep-bass|12h-battery|portable,1-year
VisionX Smart Glasses,Augmented reality smart glasses with voice control and hands-free notifications. Lightweight and stylish design,249.99,wearables,20,VisionX,ar-display|voice-control|hands-free|lightweight,2-year
ChargeMate Wireless Charger,Fast wireless charging pad compatible with Qi-enabled devices. Slim design with anti-slip surface,29.99,accessories,140,ChargeMate,wireless|fast-charging|qi|anti-slip,1-year
KeySafe Smart Lock,Smart door lock with fingerprint and app-based access. Supports remote unlocking and activity logs,199.99,security,35,KeySafe,fingerprint|app-control|remote-access|logs,3-year
StreamDeck Mini Console,Compact streaming console with customizable LCD keys. Ideal for content creators and live streaming,99.99,gaming,50,StreamDeck,custom-keys|lcd|streaming|compact,1-year
HeatWave Electric Kettle,Stainless steel electric kettle with rapid boil technology. Auto shut-off and temperature control,44.99,home,85,HeatWave,rapid-boil|auto-shutoff|temp-control|stainless-steel,2-year
SkyTrack GPS Smartwatch,Multisport GPS smartwatch with heart rate and oxygen tracking. Water resistant up to 50 meters,179.99,wearables,40,SkyTrack,gps|heart-rate|spo2|water-resistant,2-year
TypeFast Mechanical Keyboard,RGB mechanical keyboard with tactile switches. Built for gaming and productivity,119.99,computer,65,TypeFast,rgb|mechanical|tactile-switches|durable,2-year
ViewPlus Curved Monitor,27-inch curved monitor with QHD resolution and 144Hz refresh rate. Ultra-smooth visuals,329.99,electronics,18,ViewPlus,27-inch|curved|144hz|qhd,3-year
SoundShield Noise Earplugs,Reusable noise-reduction earplugs for travel and work. Comfortable silicone design,14.99,lifestyle,300,SoundShield,noise-reduction|reusable|silicone|comfort-fit,6-month
BrewMaster Coffee Maker,Programmable drip coffee maker with 12-cup capacity. Includes auto-start and keep-warm function,129.99,home,28,BrewMaster,programmable|12-cup|auto-start|keep-warm,2-year
DriveMax Car Dash Camera,Full HD dash cam with wide-angle lens and night vision. Loop recording and G-sensor support,89.99,automotive,70,DriveMax,1080p|wide-angle|night-vision|g-sensor,1-year
FitFlex Resistance Bands,Set of resistance bands with varying tension levels. Ideal for home workouts and physiotherapy,24.99,fitness,110,FitFlex,resistance-bands|multi-level|portable|workout,6-month
CoolBreeze Tower Fan,Energy-efficient tower fan with multiple speed settings and remote control. Quiet operation,149.99,home,22,CoolBreeze,tower-fan|remote-control|energy-efficient|quiet,2-year
SafeCharge Laptop Power Adapter,Universal laptop charger with adjustable voltage and safety protection. Compatible with most brands,59.99,computer,95,SafeCharge,universal|adjustable-voltage|overload-protection|portable,1-year
WaveTune Noise Earphones,In-ear wireless earphones with adaptive noise cancellation and 24-hour total battery life,79.99,audio,110,WaveTune,noise-cancelling|wireless|24h-battery|in-ear,1-year
SnapShot Action Camera,4K action camera with image stabilization and waterproof housing. Ideal for adventure sports,199.99,electronics,35,SnapShot,4k|stabilization|waterproof|action,2-year
DeskMate Wireless Mouse,Ergonomic wireless mouse with adjustable DPI and silent clicks. Long battery life,29.99,computer,180,DeskMate,wireless|ergonomic|adjustable-dpi|silent,1-year
AuraGlow Smart Lamp,Smart bedside lamp with touch control and app-enabled brightness settings. Warm and cool modes,49.99,smart-home,95,AuraGlow,touch-control|app-control|dimmable|smart,2-year
AirFlow Portable Fan,USB rechargeable portable fan with 3-speed airflow control. Compact and travel-friendly,19.99,accessories,210,AirFlow,portable|usb-rechargeable|3-speed|compact,6-month
CleanSweep Handheld Vacuum,Lightweight handheld vacuum cleaner for quick cleanups. Strong suction with washable filter,59.99,home,60,CleanSweep,handheld|strong-suction|washable-filter|lightweight,1-year
WatchGuard Smart Doorbell,Video doorbell with HD camera and real-time motion alerts. Two-way audio support,149.99,security,32,WatchGuard,hd-video|motion-alerts|two-way-audio|smart,2-year
GameFlex Gaming Chair,Ergonomic gaming chair with lumbar support and adjustable armrests. High-density foam comfort,249.99,furniture,14,GameFlex,ergonomic|lumbar-support|adjustable|gaming,3-year
PixelPro Drawing Tablet,Graphic drawing tablet with pressure-sensitive stylus. Ideal for designers and artists,109.99,computer,45,PixelPro,pressure-sensitive|stylus|creative|usb,1-year
ThermoSmart Digital Thermostat,Smart thermostat with learning mode and mobile app control. Saves energy automatically,189.99,smart-home,26,ThermoSmart,learning-mode|app-control|energy-saving|smart,3-year
RoadEase Portable Tire Inflator,Compact air compressor with digital pressure gauge. Suitable for cars and bikes,69.99,automotive,85,RoadEase,digital-gauge|portable|fast-inflate|auto-shutoff,1-year
SleepEase White Noise Machine,White noise and ambient sound machine for better sleep. Timer and volume control included,39.99,home,120,SleepEase,white-noise|sleep-aid|timer|ambient-sounds,1-year
ChargeFlow Power Strip,Smart power strip with surge protection and USB charging ports. App-controlled outlets,54.99,accessories,130,ChargeFlow,surge-protection|usb-ports|app-control|smart,2-year
VisionCare Blue Light Glasses,Blue light filtering glasses to reduce eye strain during screen use. Lightweight frame,24.99,lifestyle,200,VisionCare,blue-light|eye-protection|lightweight|screen-use,6-month
CookEase Induction Cooktop,Portable induction cooktop with touch controls and safety lock. Energy efficient cooking,119.99,home,34,CookEase,induction|touch-control|safety-lock|portable,2-year
SoundBar Max Home Theater,2.1 channel soundbar with wireless subwoofer. Immersive surround sound experience,349.99,audio,18,SoundBar,2.1-channel|wireless-subwoofer|surround|home-theater,2-year
TrackGo Bluetooth Tracker,Smart item tracker for keys and wallets with mobile app support. Replaceable battery,29.99,lifestyle,160,TrackGo,bluetooth-tracker|app-support|replaceable-battery|compact,1-year
CoolVault Mini Fridge,Compact mini refrigerator with adjustable temperature control. Ideal for dorms and offices,229.99,home,12,CoolVault,mini-fridge|adjustable-temp|compact|energy-efficient,3-year
StreamLite Webcam Ring Light,Adjustable ring light for webcams and streaming setups. USB powered with brightness levels,34.99,accessories,175,StreamLite,ring-light|usb-powered|adjustable|streaming,1-year
BikeGuard Smart Helmet,Smart bicycle helmet with built-in lights and crash detection. Rechargeable and lightweight,159.99,fitness,27,BikeGuard,smart-helmet|crash-detection|led-lights|rechargeable,2-year
EchoBeat Smart Speaker,Smart speaker with voice assistant and multi-room audio support. Rich sound with compact design,99.99,audio,70,EchoBeat,voice-assistant|smart-speaker|multi-room|compact,2-year
NeoCharge GaN Charger,Ultra-compact GaN fast charger with dual ports. Supports laptops and smartphones,59.99,accessories,130,NeoCharge,gan|fast-charging|dual-port|compact,2-year
FitPulse Smart Scale,Body composition smart scale with app syncing. Tracks weight BMI and body fat,49.99,health,90,FitPulse,smart-scale|bmi|body-fat|app-sync,1-year
NightOwl Outdoor Camera,Weatherproof outdoor security camera with 2K resolution and spotlight. Motion alerts included,179.99,security,28,NightOwl,2k|weatherproof|spotlight|motion-alerts,2-year
KeyPro Mechanical Keypad,Programmable mechanical keypad with macro support and RGB lighting. Ideal for productivity,69.99,computer,85,KeyPro,mechanical|macro-keys|rgb|programmable,1-year
TravelMate Laptop Backpack,Water-resistant laptop backpack with anti-theft design. Fits up to 15.6-inch laptops,59.99,accessories,150,TravelMate,water-resistant|anti-theft|laptop|travel,1-year
BreezeWear Cooling Pillow,Memory foam pillow with cooling gel layer. Improves sleep comfort,79.99,home,60,BreezeWear,cooling-gel|memory-foam|sleep|comfort,2-year
SoundLink Car Bluetooth Kit,Bluetooth hands-free kit for cars with noise reduction mic. Easy installation,39.99,automotive,110,SoundLink,car-bluetooth|hands-free|noise-reduction|easy-install,1-year
PowerLift Electric Kettle,Electric kettle with temperature presets and keep-warm mode. Fast heating,54.99,home,75,PowerLift,temp-presets|keep-warm|fast-boil|electric,2-year
SmartNote Digital Notebook,Reusable digital notebook with cloud sync. Eco-friendly paperless notes,89.99,office,40,SmartNote,reusable|cloud-sync|paperless|eco-friendly,1-year
SafeRide Tire Pressure Monitor,Wireless tire pressure monitoring system with real-time alerts. LCD display included,129.99,automotive,35,SafeRide,tpms|real-time-alerts|wireless|lcd,2-year
FlexiArm Monitor Mount,Adjustable monitor arm with full motion support. Improves desk ergonomics,89.99,office,65,FlexiArm,adjustable|full-motion|ergonomic|monitor-arm,5-year
PureMist Aroma Diffuser,Ultrasonic aroma diffuser with LED mood lighting. Quiet operation,34.99,home,140,PureMist,ultrasonic|aroma|led-light|quiet,1-year
RoadPro Car Jump Starter,Portable car jump starter with built-in power bank and flashlight. Emergency ready,119.99,automotive,42,RoadPro,jump-starter|power-bank|flashlight|portable,2-year
ToneFit Massage Gun,Deep tissue massage gun with multiple speed levels. Relieves muscle soreness,149.99,fitness,38,ToneFit,massage-gun|deep-tissue|multi-speed|recovery,2-year
ClearView Privacy Screen,Anti-glare laptop privacy screen filter. Protects sensitive information,39.99,computer,125,ClearView,privacy-filter|anti-glare|laptop|security,6-month
AutoGlow LED Light Strip,RGB LED strip with app and music sync. Ideal for room decoration,44.99,smart-home,160,AutoGlow,rgb|music-sync|app-control|led-strip,2-year
QuickBrew Travel Mug,Insulated travel mug with temperature retention up to 12 hours. Leak-proof lid,29.99,lifestyle,190,QuickBrew,insulated|leak-proof|travel-mug|12h-hot,1-year
GameSound USB Microphone,USB condenser microphone with noise reduction. Perfect for streaming and calls,89.99,audio,55,GameSound,usb-mic|noise-reduction|streaming|plug-play,1-year
DeskCool Laptop Stand,Adjustable aluminum laptop stand with cooling vents. Improves posture,49.99,office,100,DeskCool,adjustable|cooling|aluminum|ergonomic,2-year
AquaSense Leak Detector,Smart water leak detector with instant mobile alerts. Battery powered,69.99,smart-home,70,AquaSense,leak-detection|mobile-alerts|battery|smart,2-year
BrightWay Solar Lamp,Solar-powered outdoor lamp with automatic dusk-to-dawn operation. Weather resistant,39.99,outdoor,120,BrightWay,solar|outdoor|auto-on|weatherproof,2-year
ZoomPad Writing Tablet,Electronic writing pad for notes and drawings. One-touch erase,19.99,office,220,ZoomPad,writing-tablet|one-touch-erase|lcd|portable,6-month
ThermaCup Smart Mug,Temperature-controlled smart mug with app support. Keeps drinks warm,129.99,lifestyle,25,ThermaCup,temp-control|smart-mug|app-support|rechargeable,2-year
GripMax Phone Mount,Universal car phone mount with strong suction and rotation support. Secure grip,24.99,automotive,180,GripMax,phone-mount|suction|rotatable|universal,1-year
CloudStore NAS Mini,Personal cloud NAS storage with remote access and backup support. Compact form,299.99,networking,20,CloudStore,nas|personal-cloud|backup|remote-access,3-year
SwiftScan Document Scanner,Portable document scanner with OCR support. USB powered,139.99,office,30,SwiftScan,document-scanner|ocr|portable|usb,2-year
AirFlex Yoga Mat,Non-slip yoga mat with extra cushioning. Ideal for yoga and workouts,34.99,fitness,150,AirFlex,non-slip|cushioned|yoga|eco-material,1-year
SafeGuard RFID Wallet,RFID-blocking wallet with slim minimalist design. Protects cards,29.99,lifestyle,170,SafeGuard,rfid-blocking|slim|secure|minimal,1-year
HeatGuard Induction Pan,Induction-compatible non-stick pan with heat-resistant handle. Durable coating,44.99,kitchen,85,HeatGuard,induction|non-stick|heat-resistant|durable,2-year
FlexSound Open Earbuds,Open-ear wireless earbuds with situational awareness. Comfortable fit,129.99,audio,48,FlexSound,open-ear|wireless|comfortable|awareness,1-year
QuickPrint Label Printer,Bluetooth label printer for shipping and organization. Inkless printing,99.99,office,55,QuickPrint,label-printer|bluetooth|inkless|portable,2-year
HomeSense Smoke Detector,Smart smoke detector with mobile alerts and self-testing feature. Reliable safety,79.99,home,65,HomeSense,smoke-detector|mobile-alerts|self-test|smart,5-year
VoltSafe Surge Protector,Heavy-duty surge protector with 8 outlets and overload protection. Fire-resistant shell,49.99,accessories,140,VoltSafe,surge-protector|8-outlet|overload|fire-resistant,3-year
FitTrack Jump Rope,Smart jump rope with calorie and count tracking. App connected,39.99,fitness,95,FitTrack,jump-rope|smart-tracking|calorie-count|app,1-year
SoundDock Charging Stand,Charging stand with built-in Bluetooth speaker. Desk-friendly design,79.99,audio,50,SoundDock,charging-stand|bluetooth-speaker|desk|multi-device,1-year
PureWater Electric Dispenser,Electric water dispenser with hot and cold modes. Child safety lock included,199.99,home,22,PureWater,hot-cold|child-lock|electric|dispenser,2-year
NovaFit Smart Ring,Smart fitness ring with heart rate and sleep tracking. Lightweight titanium design,149.99,wearables,35,NovaFit,smart-ring|heart-rate|sleep-tracking|lightweight,1-year
SoundWave Studio Headset,Professional wired headset with studio-grade audio and noise-isolating earcups,129.99,audio,48,SoundWave,studio-audio|wired|noise-isolation|over-ear,2-year
VoltGo Travel Adapter,Universal travel adapter with multiple plug types and USB ports. Worldwide compatibility,34.99,accessories,160,VoltGo,travel-adapter|usb-ports|universal|compact,1-year
SafeNest Baby Monitor,Smart baby monitor with HD video night vision and temperature sensor. Mobile alerts included,199.99,home,22,SafeNest,hd-video|night-vision|temp-sensor|mobile-alerts,2-year
ClickPro Presentation Remote,Wireless presentation clicker with laser pointer and long range. Plug-and-play USB receiver,39.99,office,120,ClickPro,presentation|laser-pointer|wireless|plug-play,1-year
AeroCool Laptop Cooling Pad,High-performance cooling pad with dual silent fans and adjustable angle. USB powered,49.99,computer,95,AeroCool,dual-fan|cooling-pad|adjustable|usb-powered,1-year
PureSound Turntable,Modern vinyl turntable with Bluetooth output and built-in preamp. Retro design,229.99,audio,18,PureSound,turntable|bluetooth|preamp|vinyl,2-year
DriveSense Parking Sensor,Car parking sensor system with audible alerts and LED display. Easy installation,99.99,automotive,60,DriveSense,parking-sensor|led-display|alerts|easy-install,1-year
GlowTouch Vanity Mirror,LED vanity mirror with touch controls and adjustable brightness. Rotatable stand,79.99,home,55,GlowTouch,led-mirror|touch-control|adjustable|vanity,2-year
NetLink WiFi Range Extender,Dual-band WiFi extender with high-speed coverage boost. Easy setup,69.99,networking,85,NetLink,dual-band|wifi-extender|easy-setup|high-speed,2-year
BrewGo Portable Espresso Maker,Handheld espresso maker for travel and camping. No electricity required,129.99,kitchen,40,BrewGo,portable|espresso|manual|travel,1-year
ShieldX Rugged Phone Case,Military-grade rugged phone case with shock absorption and raised edges. Drop protection,29.99,accessories,210,ShieldX,rugged|shockproof|drop-protection|durable,1-year
ReadLite E-Reader Light,Clip-on LED reading light with adjustable color temperature. Eye-friendly illumination,24.99,accessories,180,ReadLite,clip-on|led-light|adjustable|reading,6-month
StepSense Smart Pedometer,Clip-on smart pedometer with activity tracking and long battery life. Simple display,19.99,fitness,260,StepSense,pedometer|activity-tracking|long-battery|clip-on,6-month
CoolSip Vacuum Bottle,Stainless steel vacuum insulated bottle keeps drinks hot or cold for 24 hours,39.99,lifestyle,140,CoolSip,insulated|stainless-steel|24h|leak-proof,1-year
DeskMate Drawer Organizer,Modular desk drawer organizer set for office supplies. Expandable design,29.99,office,170,DeskMate,drawer-organizer|modular|expandable|office,1-year
HomeGuard Smart Door Sensor,Magnetic smart door and window sensor with instant alerts. App connected,39.99,security,95,HomeGuard,door-sensor|window|mobile-alerts|smart,2-year
FlowMax Shower Head,High-pressure shower head with water-saving technology. Adjustable spray modes,49.99,home,110,FlowMax,high-pressure|water-saving|adjustable|shower,2-year
PlayBox Retro Console,Retro gaming console with 500 preloaded classic games. HDMI output,89.99,gaming,70,PlayBox,retro-games|hdmi|plug-play|classic,1-year
VisionPro Desk Lamp,LED desk lamp with wireless charging base and brightness control. Eye-care lighting,99.99,office,42,VisionPro,desk-lamp|wireless-charging|eye-care|led,2-year
CleanAir Cabin Filter,Premium cabin air filter for cars with activated carbon layer. Improves air quality,24.99,automotive,190,CleanAir,carbon-filter|air-quality|vehicle|easy-install,6-month
FlexRide Bike Phone Holder,Shock-absorbing bicycle phone holder with 360-degree rotation. Secure clamp,19.99,fitness,230,FlexRide,bike-mount|shock-absorb|360-rotation|secure,1-year
CookSmart Food Thermometer,Instant-read digital food thermometer with backlit display. High accuracy,29.99,kitchen,150,CookSmart,food-thermometer|instant-read|backlit|accurate,1-year
SoundNest Alarm Clock,Smart alarm clock with sunrise simulation and ambient sounds. Improves wake-up experience,89.99,home,60,SoundNest,sunrise-alarm|ambient-sounds|smart|clock,2-year
SafeStep Anti-Slip Mat,Anti-slip floor mat for bathrooms and kitchens. Easy to clean,19.99,home,260,SafeStep,anti-slip|floor-mat|bathroom|easy-clean,6-month
GearGuard Camera Backpack,Protective camera backpack with customizable compartments. Weather-resistant,129.99,photography,35,GearGuard,camera-backpack|customizable|weather-resistant|protective,2-year
SmartBrew Milk Frother,Electric milk frother with hot and cold foam modes. One-touch operation,59.99,kitchen,85,SmartBrew,milk-frother|hot-cold|one-touch|electric,1-year
VoltTrack Energy Monitor,Smart energy usage monitor for home electricity tracking. Real-time insights,179.99,smart-home,25,VoltTrack,energy-monitor|real-time|app|smart,3-year
LightWay Motion Night Light,Motion-activated LED night light with warm glow. Battery powered,19.99,home,300,LightWay,motion-sensor|night-light|battery|led,1-year
SoundFlex Lavalier Mic,Clip-on lavalier microphone with noise reduction for recording and calls. Clear voice,49.99,audio,95,SoundFlex,lavalier-mic|noise-reduction|clip-on|portable,1-year
AutoMate Remote Starter,Car remote engine starter with extended range and safety features. All-weather support,249.99,automotive,18,AutoMate,remote-start|long-range|safety|vehicle,2-year
FitCore Balance Board,Wooden balance board for core training and rehabilitation. Non-slip surface,69.99,fitness,80,FitCore,balance-board|core-training|non-slip|wood,1-year
BrightDesk Monitor Light Bar,Screen-mounted LED light bar with adjustable brightness and color temperature. Reduces eye strain,89.99,office,50,BrightDesk,monitor-light|adjustable|eye-care|usb,2-year
SecureDrive Encrypted USB,Hardware-encrypted USB flash drive with PIN protection. Secure data storage,79.99,computer,70,SecureDrive,encrypted-usb|pin-protection|secure|portable,3-year
AquaFlow Water Flosser,Cordless water flosser with multiple pressure modes. Improves oral hygiene,99.99,personal-care,65,AquaFlow,water-flosser|cordless|multi-pressure|oral-care,1-year
ThermoWrap Heated Blanket,Electric heated blanket with multiple heat settings and auto shut-off. Cozy comfort,149.99,home,28,ThermoWrap,heated-blanket|auto-shutoff|multi-heat|electric,3-year
